,state,reliabilityAverage,nRatings
0,ME,4.825,8
1,NE,4.802702702702704,37
2,AK,4.8,1
3,SD,4.78695652173913,23
4,AL,4.774999999999999,72
5,UT,4.773972602739726,73
6,HI,4.7562500000000005,16
7,ID,4.753571428571429,28
8,MT,4.75,4
9,WV,4.746153846153845,13
10,MA,4.741562500000003,320
11,TN,4.739156626506017,166
12,CT,4.735353535353532,99
13,WY,4.733333333333333,3
14,SC,4.7331288343558215,163
15,RI,4.731428571428572,35
16,MN,4.728947368421037,228
17,OK,4.728888888888892,45
18,ND,4.728571428571428,14
19,NM,4.720000000000001,5
20,MD,4.714241486068119,323
21,PA,4.711702127659578,282
22,VA,4.710000000000008,340
23,MO,4.708823529411754,170
24,KS,4.706172839506173,81
25,IA,4.705714285714287,35
26,OH,4.701823708206691,329
27,WA,4.701818181818172,165
28,TX,4.700653061224475,1225
29,KY,4.696202531645571,79
30,LA,4.694117647058827,51
31,NV,4.6935483870967705,93
32,WI,4.69055118110236,127
33,VT,4.685714285714285,7
34,FL,4.682657657657712,888
35,MI,4.6805970149253735,268
36,NC,4.68034934497815,229
37,AZ,4.675581395348846,344
38,AR,4.670731707317077,41
39,NY,4.66727272727274,440
40,NH,4.665000000000001,80
41,IN,4.6644808743169275,183
42,DE,4.661538461538461,13
43,IL,4.650421585160212,593
44,OR,4.648648648648649,37
45,NJ,4.642136498516329,337
46,CO,4.641772151898725,158
47,GA,4.604336734693891,392
48,CA,4.580988023952118,668
49,MS,4.543478260869566,23
